"TIME","GEO","GEO_LABEL","SEX","UNIT","AGE","TRAINING","WSTATUS","Value"
"2000","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.1"
"2001","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.3"
"2002","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.0"
"2003","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.0"
"2004","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.3"
"2005","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.2"
"2006","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.0"
"2007","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.4"
"2008","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.9"
"2009","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.1"
"2010","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.8"
"2011","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.4"
"2012","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.4"
"2013","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.6"
"2014","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.6"
"2015","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.1"
"2016","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.7"
"2017","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.5"
"2018","FRL","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.7"
"2000","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.1"
"2001","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.3"
"2002","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.0"
"2003","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.0"
"2004","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.3"
"2005","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.2"
"2006","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.0"
"2007","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.4"
"2008","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.9"
"2009","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.1"
"2010","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.8"
"2011","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.4"
"2012","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.4"
"2013","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.6"
"2014","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.6"
"2015","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.1"
"2016","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.7"
"2017","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.5"
"2018","FRL0","Provence-Alpes-Côte d'Azur","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.7"
"2000","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2003","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2004","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2005","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2006","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2007","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2008","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2009","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2010","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2011","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2012","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2013","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.9"
"2014","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.5"
"2015","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.5"
"2016","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.1"
"2017","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.0"
"2018","FRM","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.6"
"2000","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2003","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2004","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2005","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2006","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2007","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2008","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2009","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2010","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2011","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2012","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2013","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.9"
"2014","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.5"
"2015","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.5"
"2016","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.1"
"2017","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.0"
"2018","FRM0","Corse","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.6"
"2000","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2003","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2004","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2005","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2006","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2007","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2008","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2009","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2010","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2011","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2012","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2013","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2014","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","25.2"
"2015","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","25.3"
"2016","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","22.9"
"2017","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","24.9"
"2018","FRY","RUP FR - Régions ultrapériphériques françaises","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","26.1"
"2000","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2003","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2004","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2005","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2006","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2007","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2008","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2009","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2010","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2011","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2012","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2013","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2014","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","21.8"
"2015","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","22.9"
"2016","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.4"
"2017","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.1"
"2018","FRY1","Guadeloupe","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","20.7"
"2000","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2003","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2004","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2005","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2006","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2007","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2008","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2009","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2010","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2011","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2012","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2013","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2014","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","23.2"
"2015","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","20.7"
"2016","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.7"
"2017","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","20.6"
"2018","FRY2","Martinique","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.9"
"2000","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2003","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2004","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2005","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2006","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2007","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2008","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2009","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2010","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2011","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2012","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2013","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2014","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","32.4"
"2015","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","34.3"
"2016","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","32.3"
"2017","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","34.5"
"2018","FRY3","Guyane","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","33.1"
"2000","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2003","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2004","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2005","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2006","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2007","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2008","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2009","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2010","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2011","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2012","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2013","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2014","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","25.3"
"2015","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","25.2"
"2016","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","22.5"
"2017","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","25.4"
"2018","FRY4","La Réunion","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","27.8"
"2000","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.7"
"2003","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.0"
"2004","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","17.1"
"2005","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.7"
"2006","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.2"
"2007","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.9"
"2008","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.6"
"2009","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.4"
"2010","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.7"
"2011","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.2"
"2012","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.6"
"2013","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.6"
"2014","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.3"
"2015","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.1"
"2016","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.9"
"2017","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.4"
"2018","HR","Croatia","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.6"
"2000","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.7"
"2003","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.0"
"2004","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","17.1"
"2005","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.7"
"2006","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.2"
"2007","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.9"
"2008","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.6"
"2009","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.4"
"2010","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.7"
"2011","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.2"
"2012","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.6"
"2013","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.6"
"2014","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.3"
"2015","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.1"
"2016","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.9"
"2017","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.4"
"2018","HR0","Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.6"
"2000","HR03","Jadranska Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2001","HR03","Jadranska Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2002","HR03","Jadranska Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2003","HR03","Jadranska Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2004","HR03","Jadranska Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2005","HR03","Jadranska Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2006","HR03","Jadranska Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons",":"
"2007","HR03","Jadranska Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.9"
"2008","HR03","Jadranska Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.8"
"2009","HR03","Jadranska Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.5"
"2010","HR03","Jadranska Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.0"
"2011","HR03","Jadranska Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.3"
"2012","HR03","Jadranska Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.3"
"2013","HR03","Jadranska Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.2"
"2014","HR03","Jadranska Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.8"
"2015","HR03","Jadranska Hrvatska","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.3"
